Wahlbezirksnummer;Wahlbezirksname;Wahlberechtigte ohne Sperrvermerk;Anteil Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Anteil Wahlberechtigte mit Sperrvermerk;Wahlberechtigte insgesamt;Anteil Wahlberechtigte insgesamt;Wähler;Anteil Wähler;darunter Wähler mit Wahlschein;Anteil darunter Wähler mit Wahlschein;ungültige Stimmen;Anteil ungültige Stimmen;gültige Stimmen;Anteil gültige Stimmen;CDU;Anteil CDU;SPD;Anteil SPD;GRÜNE;Anteil GRÜNE;DIE LINKE;Anteil DIE LINKE;AfD;Anteil AfD;FDP;Anteil FDP;PIRATEN;Anteil PIRATEN;NPD;Anteil NPD;FREIE WÄHLER;Anteil FREIE WÄHLER;Die PARTEI;Anteil Die PARTEI;BüSo;Anteil BüSo;MLPD;Anteil MLPD;BGE;Anteil BGE;DKP;Anteil DKP;DM;Anteil DM;ÖDP;Anteil ÖDP;Tierschutzpartei;Anteil Tierschutzpartei;V-Partei³;Anteil V-Partei³
60102;Meisterschule                      ;792;82,1;173;17,9;965;100;551;69,6;4;0,7;10;1,8;541;100;155;28,7;124;22,9;59;10,9;38;7;66;12,2;63;11,6;6;1,1;4;0,7;8;1,5;6;1,1;0;0;0;0;0;0;1;0,2;2;0,4;1;0,2;6;1,1;2;0,4
60103;Gemeindehaus St. Dionysius         ;695;81,3;160;18,7;855;100;491;70,6;1;0,2;4;0,8;487;100;161;33,1;105;21,6;58;11,9;46;9,4;57;11,7;41;8,4;2;0,4;4;0,8;4;0,8;3;0,6;0;0;0;0;0;0;0;0;1;0,2;0;0;5;1;0;0
60201;Ludwig-Weber-Schule                ;1016;85,7;169;14,3;1185;100;664;65,4;2;0,3;11;1,7;653;100;148;22,7;188;28,8;40;6,1;69;10,6;117;17,9;51;7,8;5;0,8;3;0,5;1;0,2;4;0,6;0;0;1;0,2;0;0;0;0;2;0,3;0;0;21;3,2;3;0,5
60202;Ludwig-Weber-Schule                ;901;89,9;101;10,1;1002;100;488;54,2;3;0,6;17;3,5;471;100;115;24,4;162;34,4;31;6,6;50;10,6;61;13;23;4,9;1;0,2;4;0,8;2;0,4;7;1,5;0;0;2;0,4;0;0;1;0,2;3;0,6;2;0,4;6;1,3;1;0,2
60401;Adolf-Reichwein-Schule             ;1064;83;218;17;1282;100;673;63,3;2;0,3;10;1,5;663;100;200;30,2;167;25,2;54;8,1;52;7,8;106;16;50;7,5;6;0,9;1;0,2;3;0,5;7;1,1;0;0;0;0;0;0;0;0;7;1,1;1;0,2;8;1,2;1;0,2
61101;Käthe-Kollwitz-Schule              ;839;80,8;200;19,2;1039;100;606;72,2;0;0;8;1,3;598;100;225;37,6;125;20,9;53;8,9;38;6,4;77;12,9;55;9,2;3;0,5;1;0,2;0;0;8;1,3;0;0;0;0;2;0,3;0;0;2;0,3;0;0;9;1,5;0;0
61102;Käthe-Kollwitz-Schule              ;811;84,3;151;15,7;962;100;605;74,6;1;0,2;6;1;599;100;174;29;157;26,2;54;9;55;9,2;73;12,2;59;9,8;3;0,5;2;0,3;3;0,5;9;1,5;1;0,2;0;0;0;0;0;0;1;0,2;0;0;8;1,3;0;0
61103;Käthe-Kollwitz-Schule              ;786;82,3;169;17,7;955;100;538;68,4;0;0;12;2,2;526;100;142;27;151;28,7;37;7;41;7,8;88;16,7;43;8,2;1;0,2;1;0,2;5;1;5;1;0;0;0;0;0;0;0;0;1;0,2;0;0;9;1,7;2;0,4
61201;Adolf-Reichwein-Schule             ;1108;85;196;15;1304;100;594;53,6;1;0,2;16;2,7;578;100;170;29,4;127;22;46;8;67;11,6;94;16,3;38;6,6;4;0,7;5;0,9;5;0,9;7;1,2;0;0;0;0;0;0;0;0;5;0,9;0;0;10;1,7;0;0
61202;Adolf-Reichwein-Schule             ;1140;91,3;108;8,7;1248;100;576;50,5;1;0,2;16;2,8;560;100;125;22,3;169;30,2;31;5,5;56;10;100;17,9;45;8;3;0,5;1;0,2;6;1,1;5;0,9;0;0;1;0,2;1;0,2;1;0,2;6;1,1;0;0;9;1,6;1;0,2
62101;Ludwig-Erhard-Schule               ;1051;84,3;196;15,7;1247;100;767;73,0;0;0;11;1,4;756;100;225;29,8;160;21,2;86;11,4;74;9,8;97;12,8;75;9,9;3;0,4;1;0,1;4;0,5;15;2;0;0;0;0;0;0;0;0;0;0;2;0,3;13;1,7;1;0,1
62102;Ludwig-Erhard-Schule               ;1023;80,6;246;19,4;1269;100;710;69,4;2;0,3;2;0,3;708;100;227;32,1;139;19,6;83;11,7;74;10,5;78;11;75;10,6;1;0,1;2;0,3;2;0,3;11;1,6;0;0;0;0;4;0,6;0;0;2;0,3;0;0;10;1,4;0;0
62103;Frankf. Schule für Bekleidung und M;967;79,9;244;20,1;1211;100;728;75,3;1;0,1;10;1,4;718;100;196;27,3;153;21,3;101;14,1;62;8,6;77;10,7;101;14,1;3;0,4;1;0,1;5;0,7;10;1,4;0;0;1;0,1;1;0,1;0;0;1;0,1;0;0;6;0,8;0;0
62104;Karl-von-Ibell-Schule              ;1196;84,2;224;15,8;1420;100;874;73,1;4;0,5;13;1,5;861;100;238;27,6;217;25,2;84;9,8;98;11,4;86;10;90;10,5;5;0,6;5;0,6;11;1,3;6;0,7;0;0;0;0;1;0,1;2;0,2;1;0,1;1;0,1;14;1,6;2;0,2
62201;Karl-Oppermann-Schule              ;902;89,8;103;10,2;1005;100;450;49,9;4;0,9;9;2;441;100;103;23,4;132;29,9;26;5,9;57;12,9;55;12,5;39;8,8;2;0,5;0;0;3;0,7;7;1,6;0;0;0;0;2;0,5;2;0,5;2;0,5;0;0;10;2,3;1;0,2
62202;Walter-Kolb-Schule                 ;1050;87;157;13;1207;100;643;61,2;0;0;6;0,9;637;100;150;23,5;177;27,8;53;8,3;72;11,3;97;15,2;52;8,2;1;0,2;5;0,8;5;0,8;13;2;0;0;1;0,2;2;0,3;0;0;2;0,3;2;0,3;5;0,8;0;0
