Wahlbezirksnummer;Wahlbezirksname;Wahlberechtigte ohne Sperrvermerk;Anteil Wahlberechtigte ohne Sperrvermerk;Wahlberechtigte mit Sperrvermerk;Anteil Wahlberechtigte mit Sperrvermerk;Wahlberechtigte insgesamt;Anteil Wahlberechtigte insgesamt;Wähler;Anteil Wähler;darunter Wähler mit Wahlschein;Anteil darunter Wähler mit Wahlschein;ungültige Stimmen;Anteil ungültige Stimmen;gültige Stimmen;Anteil gültige Stimmen;CDU;Anteil CDU;SPD;Anteil SPD;GRÜNE;Anteil GRÜNE;DIE LINKE;Anteil DIE LINKE;AfD;Anteil AfD;FDP;Anteil FDP;PIRATEN;Anteil PIRATEN;NPD;Anteil NPD;FREIE WÄHLER;Anteil FREIE WÄHLER;Die PARTEI;Anteil Die PARTEI;BüSo;Anteil BüSo;MLPD;Anteil MLPD;BGE;Anteil BGE;DKP;Anteil DKP;DM;Anteil DM;ÖDP;Anteil ÖDP;Tierschutzpartei;Anteil Tierschutzpartei;V-Partei³;Anteil V-Partei³
62203;Walter-Kolb-Schule                 ;1190;89,1;145;10,9;1335;100;624;52,4;0;0;19;3;605;100;131;21,7;198;32,7;44;7,3;75;12,4;89;14,7;32;5,3;8;1,3;2;0,3;5;0,8;8;1,3;0;0;2;0,3;1;0,2;0;0;4;0,7;0;0;6;1;0;0
63101;Saalbau Volkshaus Sossenheim       ;1004;80,8;239;19,2;1243;100;674;67,1;6;0,9;4;0,6;670;100;188;28,1;128;19,1;62;9,3;89;13,3;87;13;82;12,2;3;0,4;1;0,1;4;0,6;13;1,9;0;0;1;0,1;0;0;0;0;1;0,1;1;0,1;10;1,5;0;0
63102;Eduard-Spranger-Schule             ;1015;82,9;210;17,1;1225;100;684;67,4;2;0,3;10;1,5;674;100;216;32;143;21,2;65;9,6;56;8,3;83;12,3;67;9,9;1;0,1;2;0,3;4;0,6;14;2,1;0;0;1;0,1;0;0;0;0;1;0,1;3;0,4;17;2,5;1;0,1
63103;Eduard-Spranger-Schule             ;991;86,4;156;13,6;1147;100;585;59,0;2;0,3;14;2,4;571;100;151;26,4;161;28,2;34;6;51;8,9;83;14,5;47;8,2;5;0,9;2;0,4;3;0,5;10;1,8;0;0;0;0;2;0,4;0;0;6;1,1;2;0,4;12;2,1;2;0,4
63104;Victor-Gollancz-Haus               ;968;87,1;143;12,9;1111;100;539;55,7;2;0,4;17;3,2;522;100;129;24,7;121;23,2;51;9,8;77;14,8;73;14;42;8;3;0,6;3;0,6;8;1,5;5;1;0;0;0;0;2;0,4;0;0;3;0,6;1;0,2;4;0,8;0;0
63201;Saalbau Volkshaus Sossenheim       ;992;83,4;198;16,6;1190;100;468;47,2;3;0,6;6;1,3;462;100;111;24;144;31,2;31;6,7;42;9,1;73;15,8;34;7,4;4;0,9;2;0,4;2;0,4;4;0,9;0;0;0;0;1;0,2;0;0;5;1,1;0;0;8;1,7;1;0,2
63202;Albrecht-Dürer-Schule              ;958;81,7;214;18,3;1172;100;603;62,9;2;0,3;6;1;597;100;189;31,7;122;20,4;43;7,2;41;6,9;100;16,8;72;12,1;3;0,5;0;0;7;1,2;9;1,5;0;0;0;0;3;0,5;0;0;1;0,2;2;0,3;5;0,8;0;0
63203;Saalbau Volkshaus Sossenheim       ;1006;89,3;121;10,7;1127;100;487;48,4;1;0,2;8;1,6;479;100;125;26,1;149;31,1;27;5,6;58;12,1;55;11,5;43;9;5;1;1;0,2;7;1,5;3;0,6;0;0;1;0,2;0;0;0;0;1;0,2;0;0;4;0,8;0;0
64001;Schule am Erlenbach                ;758;71;309;29;1067;100;642;84,7;1;0,2;5;0,8;637;100;246;38,6;88;13,8;79;12,4;45;7,1;64;10;98;15,4;1;0,2;3;0,5;1;0,2;3;0,5;0;0;1;0,2;0;0;0;0;0;0;1;0,2;5;0,8;2;0,3
64002;Schule am Erlenbach                ;833;78,4;229;21,6;1062;100;645;77,4;3;0,5;4;0,6;641;100;192;30;129;20,1;88;13,7;59;9,2;67;10,5;81;12,6;2;0,3;0;0;1;0,2;3;0,5;0;0;1;0,2;0;0;1;0,2;0;0;2;0,3;13;2;2;0,3
64003;Schule am Erlenbach                ;853;75,6;275;24,4;1128;100;691;81,0;5;0,7;7;1;684;100;256;37,4;124;18,1;87;12,7;49;7,2;61;8,9;86;12,6;5;0,7;0;0;2;0,3;5;0,7;0;0;0;0;0;0;0;0;0;0;2;0,3;7;1;0;0
65001;Grundschule Kalbach                ;1106;77,1;329;22,9;1435;100;826;74,7;5;0,6;8;1;818;100;275;33,6;159;19,4;100;12,2;83;10,1;63;7,7;104;12,7;3;0,4;0;0;6;0,7;7;0,9;0;0;0;0;2;0,2;0;0;2;0,2;1;0,1;12;1,5;1;0,1
65002;Grundschule Kalbach                ;908;78,7;246;21,3;1154;100;678;74,7;4;0,6;7;1;671;100;244;36,4;107;15,9;77;11,5;46;6,9;65;9,7;96;14,3;1;0,1;4;0,6;4;0,6;5;0,7;0;0;0;0;6;0,9;0;0;1;0,1;2;0,3;12;1,8;1;0,1
65003;Ev. Kita Krambambuli               ;899;77,2;266;22,8;1165;100;749;83,3;3;0,4;5;0,7;744;100;260;34,9;144;19,4;73;9,8;65;8,7;61;8,2;114;15,3;3;0,4;1;0,1;2;0,3;5;0,7;0;0;2;0,3;2;0,3;0;0;1;0,1;4;0,5;5;0,7;2;0,3
65101;Grundschule Riedberg               ;1020;75,8;326;24,2;1346;100;822;80,6;5;0,6;4;0,5;818;100;255;31,2;122;14,9;146;17,8;57;7;72;8,8;130;15,9;1;0,1;2;0,2;2;0,2;13;1,6;0;0;0;0;1;0,1;0;0;2;0,2;7;0,9;5;0,6;3;0,4
65102;Grundschule Riedberg               ;1237;77,5;360;22,5;1597;100;1070;86,5;4;0,4;3;0,3;1067;100;350;32,8;159;14,9;169;15,8;64;6;64;6;229;21,5;6;0,6;0;0;1;0,1;10;0,9;0;0;0;0;1;0,1;0;0;0;0;0;0;12;1,1;2;0,2
65103;Gymnasium Riedberg                 ;1016;77,7;291;22,3;1307;100;790;77,8;2;0,3;5;0,6;785;100;269;34,3;134;17,1;96;12,2;48;6,1;53;6,8;160;20,4;2;0,3;0;0;5;0,6;3;0,4;0;0;0;0;1;0,1;0;0;2;0,3;3;0,4;7;0,9;2;0,3
65104;Gymnasium Riedberg                 ;1121;79,7;285;20,3;1406;100;898;80,1;3;0,3;6;0,7;892;100;282;31,6;151;16,9;94;10,5;84;9,4;83;9,3;177;19,8;5;0,6;2;0,2;3;0,3;3;0,3;1;0,1;0;0;2;0,2;0;0;0;0;2;0,2;2;0,2;1;0,1
65105;Marie-Curie-Schule                 ;761;82,5;161;17,5;922;100;580;76,2;3;0,5;4;0,7;576;100;176;30,6;105;18,2;80;13,9;45;7,8;36;6,2;119;20,7;3;0,5;1;0,2;2;0,3;3;0,5;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0
65106;Marie-Curie-Schule                 ;500;81,4;114;18,6;614;100;365;73,0;6;1,6;0;0;365;100;111;30,4;68;18,6;47;12,9;33;9;22;6;68;18,6;2;0,5;0;0;1;0,3;6;1,6;0;0;0;0;1;0,3;1;0,3;1;0,3;0;0;4;1,1;0;0
66001;Bürgerhaus Harheim                 ;945;76,2;295;23,8;1240;100;777;82,2;4;0,5;4;0,5;773;100;260;33,6;169;21,9;90;11,6;53;6,9;80;10,3;89;11,5;0;0;2;0,3;7;0,9;11;1,4;0;0;0;0;0;0;0;0;2;0,3;1;0,1;8;1;1;0,1
66002;Bürgerhaus Harheim                 ;776;78,1;218;21,9;994;100;582;75,0;1;0,2;9;1,5;573;100;177;30,9;124;21,6;79;13,8;59;10,3;63;11;44;7,7;0;0;1;0,2;6;1;8;1,4;0;0;0;0;0;0;1;0,2;0;0;0;0;8;1,4;3;0,5
66003;Bürgerhaus Harheim                 ;789;75,5;256;24,5;1045;100;666;84,4;4;0,6;11;1,7;655;100;230;35,1;91;13,9;78;11,9;49;7,5;63;9,6;109;16,6;1;0,2;0;0;6;0,9;8;1,2;0;0;0;0;1;0,2;0;0;2;0,3;1;0,2;13;2;3;0,5
67001;Otto-Hahn-Schule                   ;900;74,9;302;25,1;1202;100;752;83,6;2;0,3;3;0,4;749;100;260;34,7;133;17,8;95;12,7;56;7,5;77;10,3;103;13,8;3;0,4;1;0,1;8;1,1;5;0,7;0;0;1;0,1;0;0;0;0;0;0;2;0,3;4;0,5;1;0,1
67002;Otto-Hahn-Schule                   ;939;84,7;170;15,3;1109;100;614;65,4;4;0,7;10;1,6;604;100;170;28,1;128;21,2;63;10,4;55;9,1;99;16,4;51;8,4;5;0,8;2;0,3;4;0,7;3;0,5;0;0;0;0;1;0,2;1;0,2;4;0,7;3;0,5;13;2,2;2;0,3
67003;Michael-Grzimek-Schule             ;858;78,8;231;21,2;1089;100;679;79,1;1;0,1;11;1,6;668;100;232;34,7;104;15,6;80;12;56;8,4;77;11,5;83;12,4;5;0,7;2;0,3;4;0,6;12;1,8;0;0;1;0,1;2;0,3;0;0;0;0;0;0;7;1;3;0,4
67004;Michael-Grzimek-Schule             ;896;77;268;23;1164;100;642;71,7;2;0,3;10;1,6;632;100;181;28,6;122;19,3;81;12,8;60;9,5;80;12,7;85;13,4;2;0,3;1;0,2;4;0,6;7;1,1;0;0;0;0;2;0,3;0;0;2;0,3;0;0;5;0,8;0;0
67005;Kinderhaus am Bügel                ;1067;83,9;204;16,1;1271;100;589;55,2;0;0;14;2,4;575;100;171;29,7;144;25;48;8,3;63;11;85;14,8;36;6,3;5;0,9;3;0,5;3;0,5;8;1,4;0;0;2;0,3;0;0;0;0;0;0;1;0,2;5;0,9;1;0,2
67006;Altentagesstätte                   ;1155;90;128;10;1283;100;598;51,8;2;0,3;17;2,8;581;100;126;21,7;184;31,7;47;8,1;85;14,6;78;13,4;37;6,4;2;0,3;3;0,5;2;0,3;7;1,2;0;0;1;0,2;5;0,9;0;0;0;0;1;0,2;2;0,3;1;0,2
68001;Schule am Landgraben               ;947;75,6;306;24,4;1253;100;712;75,2;2;0,3;5;0,7;707;100;208;29,4;142;20,1;89;12,6;58;8,2;65;9,2;128;18,1;4;0,6;1;0,1;6;0,8;3;0,4;0;0;0;0;0;0;0;0;1;0,1;1;0,1;1;0,1;0;0
68002;Schule am Landgraben               ;833;70,2;354;29,8;1187;100;669;80,3;4;0,6;4;0,6;665;100;206;31;99;14,9;105;15,8;63;9,5;62;9,3;108;16,2;1;0,2;1;0,2;3;0,5;7;1,1;0;0;0;0;2;0,3;0;0;2;0,3;0;0;6;0,9;0;0
68003;Saalbau Stadthalle Bergen          ;956;77;286;23;1242;100;743;77,7;3;0,4;2;0,3;741;100;188;25,4;158;21,3;96;13;64;8,6;81;10,9;120;16,2;0;0;4;0,5;8;1,1;6;0,8;0;0;1;0,1;1;0,1;0;0;1;0,1;2;0,3;9;1,2;2;0,3
68004;Saalbau Stadthalle Bergen          ;927;76;292;24;1219;100;710;76,6;3;0,4;4;0,6;706;100;234;33,1;116;16,4;90;12,7;61;8,6;57;8,1;118;16,7;3;0,4;1;0,1;2;0,3;6;0,8;0;0;0;0;0;0;0;0;4;0,6;0;0;11;1,6;3;0,4
68005;Ev. Kirche Bergen-Enkheim          ;883;70,2;374;29,8;1257;100;720;81,5;4;0,6;6;0,8;714;100;236;33,1;98;13,7;105;14,7;42;5,9;64;9;144;20,2;2;0,3;1;0,1;5;0,7;7;1;0;0;0;0;2;0,3;0;0;0;0;1;0,1;5;0,7;2;0,3
68006;Schule am Ried                     ;842;74,4;289;25,6;1131;100;626;74,3;5;0,8;4;0,6;622;100;191;30,7;134;21,5;77;12,4;64;10,3;67;10,8;72;11,6;0;0;0;0;3;0,5;6;1;0;0;2;0,3;1;0,2;0;0;1;0,2;1;0,2;1;0,2;2;0,3
68007;Schule am Ried                     ;897;77,1;266;22,9;1163;100;608;67,8;1;0,2;7;1,2;601;100;167;27,8;144;24;60;10;63;10,5;69;11,5;68;11,3;0;0;2;0,3;8;1,3;7;1,2;0;0;0;0;1;0,2;0;0;2;0,3;3;0,5;6;1;1;0,2
68008;Saalbau Volkshaus Enkheim          ;1111;85,3;192;14,7;1303;100;740;66,6;2;0,3;11;1,5;729;100;172;23,6;201;27,6;48;6,6;99;13,6;95;13;62;8,5;5;0,7;4;0,5;9;1,2;9;1,2;1;0,1;2;0,3;5;0,7;0;0;3;0,4;1;0,1;12;1,6;1;0,1
68009;Saalbau Volkshaus Enkheim          ;809;78,3;224;21,7;1033;100;558;69,0;1;0,2;6;1,1;552;100;163;29,5;92;16,7;58;10,5;60;10,9;88;15,9;64;11,6;3;0,5;2;0,4;2;0,4;10;1,8;0;0;1;0,2;1;0,2;0;0;0;0;1;0,2;6;1,1;1;0,2
68010;Frankfurter Volksbank              ;864;74,7;293;25,3;1157;100;635;73,5;3;0,5;4;0,6;631;100;184;29,2;128;20,3;81;12,8;70;11,1;68;10,8;77;12,2;0;0;0;0;7;1,1;7;1,1;0;0;0;0;1;0,2;0;0;1;0,2;0;0;7;1,1;0;0
90100;Briefwahl Altstadt                 ;0;0;0;0;0;0;564;100;564;100;4;0,7;560;100;172;30,7;99;17,7;67;12;50;8,9;52;9,3;88;15,7;2;0,4;6;1,1;4;0,7;12;2,1;0;0;0;0;1;0,2;0;0;2;0,4;2;0,4;3;0,5;0;0
90200;Briefwahl Innenstadt               ;0;0;0;0;0;0;849;100;849;100;5;0,6;844;100;273;32,3;110;13;129;15,3;85;10,1;58;6,9;156;18,5;4;0,5;2;0,2;1;0,1;15;1,8;0;0;2;0,2;1;0,1;0;0;1;0,1;0;0;4;0,5;3;0,4
90401;Briefwahl Westend-Süd              ;0;0;0;0;0;0;872;100;872;100;1;0,1;871;100;288;33,1;91;10,4;107;12,3;36;4,1;61;7;268;30,8;1;0,1;0;0;1;0,1;7;0,8;0;0;0;0;1;0,1;0;0;1;0,1;1;0,1;5;0,6;3;0,3
90402;Briefwahl Westend-Süd              ;0;0;0;0;0;0;689;100;689;100;0;0;689;100;235;34,1;65;9,4;78;11,3;37;5,4;42;6,1;213;30,9;2;0,3;0;0;1;0,1;7;1;0;0;0;0;1;0,1;0;0;1;0,1;2;0,3;3;0,4;2;0,3
90403;Briefwahl Westend-Süd              ;0;0;0;0;0;0;767;100;767;100;3;0,4;764;100;270;35,3;85;11,1;93;12,2;52;6,8;31;4,1;220;28,8;1;0,1;0;0;2;0,3;2;0,3;0;0;1;0,1;0;0;0;0;0;0;1;0,1;4;0,5;2;0,3
90404;Briefwahl Westend-Süd              ;0;0;0;0;0;0;775;100;775;100;7;0,9;768;100;270;35,2;58;7,6;90;11,7;40;5,2;39;5,1;251;32,7;1;0,1;2;0,3;0;0;2;0,3;0;0;0;0;3;0,4;0;0;2;0,3;3;0,4;4;0,5;3;0,4
90405;Briefwahl Westend-Süd              ;0;0;0;0;0;0;877;100;877;100;2;0,2;875;100;299;34,2;96;11;124;14,2;52;5,9;34;3,9;261;29,8;0;0;0;0;2;0,2;2;0,2;1;0,1;0;0;1;0,1;0;0;1;0,1;1;0,1;1;0,1;0;0
90501;Briefwahl Westend-Nord             ;0;0;0;0;0;0;738;100;738;100;5;0,7;733;100;243;33,2;82;11,2;111;15,1;51;7;30;4,1;203;27,7;0;0;0;0;0;0;7;1;0;0;0;0;0;0;0;0;1;0,1;0;0;3;0,4;2;0,3
90502;Briefwahl Westend-Nord             ;0;0;0;0;0;0;956;100;956;100;2;0,2;954;100;302;31,7;123;12,9;143;15;86;9;37;3,9;236;24,7;3;0,3;1;0,1;1;0,1;10;1;0;0;0;0;0;0;1;0,1;0;0;3;0,3;6;0,6;2;0,2
90601;Briefwahl Nordend-West             ;0;0;0;0;0;0;733;100;733;100;6;0,8;727;100;205;28,2;105;14,4;146;20,1;79;10,9;33;4,5;143;19,7;2;0,3;0;0;1;0,1;7;1;0;0;0;0;1;0,1;0;0;0;0;0;0;2;0,3;3;0,4
90602;Briefwahl Nordend-West             ;0;0;0;0;0;0;650;100;650;100;1;0,2;649;100;195;30;88;13,6;114;17,6;60;9,2;23;3,5;147;22,7;3;0,5;0;0;3;0,5;6;0,9;0;0;0;0;3;0,5;0;0;0;0;2;0,3;2;0,3;3;0,5
90603;Briefwahl Nordend-West             ;0;0;0;0;0;0;912;100;912;100;4;0,4;908;100;294;32,4;107;11,8;182;20;78;8,6;35;3,9;190;20,9;4;0,4;0;0;1;0,1;5;0,6;0;0;0;0;5;0,6;0;0;1;0,1;1;0,1;2;0,2;3;0,3
90604;Briefwahl Nordend-West             ;0;0;0;0;0;0;1089;100;1089;100;2;0,2;1087;100;346;31,8;144;13,2;145;13,3;102;9,4;66;6,1;241;22,2;1;0,1;0;0;4;0,4;20;1,8;0;0;0;0;1;0,1;1;0,1;1;0,1;4;0,4;9;0,8;2;0,2
90605;Briefwahl Nordend-West             ;0;0;0;0;0;0;731;100;731;100;1;0,1;730;100;256;35,1;70;9,6;108;14,8;41;5,6;36;4,9;208;28,5;3;0,4;0;0;0;0;4;0,5;0;0;0;0;1;0,1;0;0;0;0;1;0,1;2;0,3;0;0
90606;Briefwahl Nordend-West             ;0;0;0;0;0;0;895;100;895;100;3;0,3;892;100;195;21,9;145;16,3;206;23,1;138;15,5;30;3,4;146;16,4;18;2;0;0;1;0,1;2;0,2;0;0;1;0,1;4;0,4;0;0;1;0,1;0;0;2;0,2;3;0,3
90607;Briefwahl Nordend-West             ;0;0;0;0;0;0;1202;100;1202;100;5;0,4;1197;100;308;25,7;182;15,2;254;21,2;128;10,7;58;4,8;214;17,9;2;0,2;1;0,1;2;0,2;20;1,7;1;0,1;0;0;5;0,4;1;0,1;0;0;4;0,3;14;1,2;3;0,3
90701;Briefwahl Nordend-Ost              ;0;0;0;0;0;0;1138;100;1138;100;5;0,4;1133;100;283;25;175;15,4;280;24,7;141;12,4;46;4,1;163;14,4;2;0,2;0;0;3;0,3;21;1,9;1;0,1;1;0,1;2;0,2;0;0;2;0,2;3;0,3;10;0,9;0;0
90702;Briefwahl Nordend-Ost              ;0;0;0;0;0;0;1023;100;1023;100;5;0,5;1018;100;253;24,9;162;15,9;239;23,5;137;13,5;35;3,4;159;15,6;5;0,5;0;0;1;0,1;12;1,2;0;0;0;0;4;0,4;0;0;0;0;3;0,3;5;0,5;3;0,3
90703;Briefwahl Nordend-Ost              ;0;0;0;0;0;0;1131;100;1131;100;4;0,4;1127;100;285;25,3;169;15;274;24,3;175;15,5;37;3,3;145;12,9;2;0,2;0;0;3;0,3;20;1,8;0;0;0;0;3;0,3;2;0,2;0;0;2;0,2;9;0,8;1;0,1
90704;Briefwahl Nordend-Ost              ;0;0;0;0;0;0;1007;100;1007;100;8;0,8;999;100;235;23,5;148;14,8;250;25;128;12,8;36;3,6;174;17,4;0;0;0;0;2;0,2;12;1,2;1;0,1;2;0,2;5;0,5;1;0,1;0;0;0;0;5;0,5;0;0
90801;Briefwahl Ostend                   ;0;0;0;0;0;0;817;100;817;100;4;0,5;813;100;238;29,3;168;20,7;135;16,6;77;9,5;38;4,7;129;15,9;3;0,4;0;0;2;0,2;10;1,2;0;0;0;0;0;0;0;0;0;0;4;0,5;7;0,9;2;0,2
90802;Briefwahl Ostend                   ;0;0;0;0;0;0;935;100;935;100;4;0,4;931;100;278;29,9;130;14;156;16,8;89;9,6;62;6,7;178;19,1;3;0,3;1;0,1;5;0,5;18;1,9;0;0;0;0;3;0,3;0;0;0;0;2;0,2;5;0,5;1;0,1
90803;Briefwahl Ostend                   ;0;0;0;0;0;0;1011;100;1011;100;14;1,4;997;100;236;23,7;171;17,2;214;21,5;128;12,8;52;5,2;147;14,7;2;0,2;0;0;5;0,5;21;2,1;0;0;0;0;3;0,3;3;0,3;1;0,1;3;0,3;9;0,9;2;0,2
90804;Briefwahl Ostend                   ;0;0;0;0;0;0;1123;100;1123;100;2;0,2;1121;100;320;28,5;186;16,6;229;20,4;140;12,5;50;4,5;146;13;6;0,5;0;0;2;0,2;24;2,1;0;0;1;0,1;0;0;0;0;0;0;1;0,1;13;1,2;3;0,3
90805;Briefwahl Ostend                   ;0;0;0;0;0;0;682;100;682;100;4;0,6;678;100;184;27,1;123;18,1;125;18,4;83;12,2;44;6,5;94;13,9;2;0,3;3;0,4;4;0,6;10;1,5;1;0,1;0;0;1;0,1;1;0,1;0;0;0;0;3;0,4;0;0
90901;Briefwahl Bornheim                 ;0;0;0;0;0;0;530;100;530;100;0;0;530;100;160;30,2;67;12,6;128;24,2;53;10;14;2,6;89;16,8;1;0,2;0;0;1;0,2;8;1,5;0;0;0;0;2;0,4;0;0;0;0;3;0,6;4;0,8;0;0
90902;Briefwahl Bornheim                 ;0;0;0;0;0;0;819;100;819;100;2;0,2;817;100;184;22,5;165;20,2;174;21,3;102;12,5;36;4,4;123;15,1;3;0,4;0;0;2;0,2;11;1,3;0;0;1;0,1;4;0,5;0;0;0;0;2;0,2;8;1;2;0,2
90903;Briefwahl Bornheim                 ;0;0;0;0;0;0;656;100;656;100;0;0;656;100;172;26,2;165;25,2;94;14,3;90;13,7;50;7,6;54;8,2;2;0,3;0;0;4;0,6;11;1,7;0;0;0;0;6;0,9;0;0;1;0,2;1;0,2;4;0,6;2;0,3
90904;Briefwahl Bornheim                 ;0;0;0;0;0;0;1030;100;1030;100;2;0,2;1028;100;240;23,3;223;21,7;188;18,3;132;12,8;69;6,7;131;12,7;3;0,3;0;0;6;0,6;19;1,8;1;0,1;0;0;4;0,4;0;0;0;0;1;0,1;9;0,9;2;0,2
90905;Briefwahl Bornheim                 ;0;0;0;0;0;0;772;100;772;100;6;0,8;766;100;221;28,9;161;21;118;15,4;91;11,9;62;8,1;80;10,4;3;0,4;1;0,1;3;0,4;8;1;0;0;1;0,1;2;0,3;1;0,1;0;0;1;0,1;8;1;5;0,7
90906;Briefwahl Bornheim                 ;0;0;0;0;0;0;887;100;887;100;7;0,8;880;100;233;26,5;147;16,7;182;20,7;119;13,5;45;5,1;101;11,5;5;0,6;0;0;4;0,5;18;2;0;0;1;0,1;7;0,8;1;0,1;1;0,1;2;0,2;13;1,5;1;0,1
91000;Briefwahl Gutleut-/Bahnhofsviertel ;0;0;0;0;0;0;1241;100;1241;100;3;0,2;1238;100;271;21,9;159;12,8;256;20,7;172;13,9;58;4,7;268;21,6;3;0,2;0;0;4;0,3;27;2,2;0;0;0;0;4;0,3;0;0;0;0;5;0,4;9;0,7;2;0,2
91101;Briefwahl Gallus                   ;0;0;0;0;0;0;1715;100;1715;100;10;0,6;1705;100;471;27,6;300;17,6;213;12,5;151;8,9;140;8,2;350;20,5;8;0,5;2;0,1;11;0,6;23;1,3;0;0;1;0,1;9;0,5;1;0,1;4;0,2;6;0,4;11;0,6;4;0,2
91102;Briefwahl Gallus                   ;0;0;0;0;0;0;1111;100;1111;100;5;0,5;1106;100;301;27,2;147;13,3;165;14,9;104;9,4;80;7,2;271;24,5;5;0,5;2;0,2;3;0,3;15;1,4;0;0;0;0;3;0,3;0;0;1;0,1;2;0,2;5;0,5;2;0,2
91103;Briefwahl Gallus                   ;0;0;0;0;0;0;1412;100;1412;100;7;0,5;1405;100;427;30,4;194;13,8;207;14,7;136;9,7;73;5,2;317;22,6;8;0,6;3;0,2;5;0,4;16;1,1;0;0;1;0,1;1;0,1;1;0,1;3;0,2;0;0;8;0,6;5;0,4
91201;Briefwahl Bockenheim               ;0;0;0;0;0;0;677;100;677;100;6;0,9;671;100;204;30,4;116;17,3;93;13,9;45;6,7;53;7,9;133;19,8;6;0,9;2;0,3;4;0,6;6;0,9;0;0;0;0;1;0,1;0;0;0;0;3;0,4;4;0,6;1;0,1
91202;Briefwahl Bockenheim               ;0;0;0;0;0;0;866;100;866;100;6;0,7;860;100;191;22,2;120;14;214;24,9;133;15,5;39;4,5;119;13,8;1;0,1;0;0;5;0,6;23;2,7;0;0;0;0;3;0,3;0;0;2;0,2;2;0,2;5;0,6;3;0,3
91203;Briefwahl Bockenheim               ;0;0;0;0;0;0;801;100;801;100;1;0,1;800;100;239;29,9;97;12,1;125;15,6;48;6;50;6,2;206;25,8;3;0,4;1;0,1;4;0,5;13;1,6;0;0;1;0,1;2;0,2;0;0;0;0;1;0,1;5;0,6;5;0,6
91204;Briefwahl Bockenheim               ;0;0;0;0;0;0;957;100;957;100;1;0,1;956;100;199;20,8;187;19,6;214;22,4;135;14,1;42;4,4;138;14,4;3;0,3;1;0,1;3;0,3;11;1,2;0;0;0;0;3;0,3;1;0,1;1;0,1;3;0,3;11;1,2;4;0,4
91205;Briefwahl Bockenheim               ;0;0;0;0;0;0;1115;100;1115;100;6;0,5;1109;100;240;21,6;191;17,2;276;24,9;145;13,1;38;3,4;173;15,6;6;0,5;0;0;3;0,3;20;1,8;0;0;1;0,1;8;0,7;1;0,1;0;0;3;0,3;4;0,4;0;0
91206;Briefwahl Bockenheim               ;0;0;0;0;0;0;762;100;762;100;4;0,5;758;100;250;33;91;12;123;16,2;56;7,4;20;2,6;200;26,4;1;0,1;0;0;2;0,3;4;0,5;0;0;4;0,5;0;0;0;0;0;0;1;0,1;5;0,7;1;0,1
91207;Briefwahl Bockenheim               ;0;0;0;0;0;0;429;100;429;100;1;0,2;428;100;113;26,4;79;18,5;91;21,3;54;12,6;15;3,5;64;15;0;0;0;0;0;0;5;1,2;0;0;0;0;0;0;1;0,2;0;0;0;0;3;0,7;3;0,7
91301;Briefwahl Sachsenhausen-Nord       ;0;0;0;0;0;0;664;100;664;100;2;0,3;662;100;185;27,9;80;12,1;127;19,2;54;8,2;38;5,7;160;24,2;2;0,3;1;0,2;2;0,3;6;0,9;0;0;0;0;2;0,3;1;0,2;1;0,2;1;0,2;2;0,3;0;0
91302;Briefwahl Sachsenhausen-Nord       ;0;0;0;0;0;0;1147;100;1147;100;2;0,2;1145;100;336;29,3;176;15,4;195;17;96;8,4;55;4,8;257;22,4;2;0,2;0;0;2;0,2;11;1;0;0;0;0;4;0,3;1;0,1;3;0,3;2;0,2;4;0,3;1;0,1
91303;Briefwahl Sachsenhausen-Nord       ;0;0;0;0;0;0;893;100;893;100;5;0,6;888;100;265;29,8;133;15;123;13,9;78;8,8;59;6,6;208;23,4;3;0,3;1;0,1;4;0,5;3;0,3;0;0;1;0,1;2;0,2;0;0;1;0,1;2;0,2;4;0,5;1;0,1
91304;Briefwahl Sachsenhausen-Nord       ;0;0;0;0;0;0;706;100;706;100;2;0,3;704;100;245;34,8;89;12,6;111;15,8;41;5,8;28;4;177;25,1;2;0,3;0;0;3;0,4;1;0,1;0;0;0;0;0;0;0;0;0;0;3;0,4;2;0,3;2;0,3
91305;Briefwahl Sachsenhausen-Nord       ;0;0;0;0;0;0;792;100;792;100;4;0,5;788;100;221;28;110;14;157;19,9;64;8,1;40;5,1;176;22,3;8;1;1;0,1;2;0,3;1;0,1;0;0;0;0;2;0,3;0;0;0;0;2;0,3;3;0,4;1;0,1
91306;Briefwahl Sachsenhausen-Nord       ;0;0;0;0;0;0;803;100;803;100;2;0,2;801;100;212;26,5;120;15;174;21,7;79;9,9;38;4,7;160;20;1;0,1;0;0;2;0,2;7;0,9;0;0;0;0;1;0,1;1;0,1;1;0,1;1;0,1;0;0;4;0,5
91307;Briefwahl Sachsenhausen-Nord       ;0;0;0;0;0;0;910;100;910;100;2;0,2;908;100;271;29,8;97;10,7;162;17,8;84;9,3;48;5,3;209;23;2;0,2;1;0,1;2;0,2;19;2,1;0;0;1;0,1;2;0,2;0;0;1;0,1;2;0,2;1;0,1;6;0,7
91401;Briefwahl Sachsenhausen-Süd        ;0;0;0;0;0;0;935;100;935;100;2;0,2;933;100;315;33,8;136;14,6;120;12,9;62;6,6;65;7;217;23,3;2;0,2;1;0,1;1;0,1;6;0,6;0;0;0;0;1;0,1;0;0;0;0;2;0,2;4;0,4;1;0,1
