,Codes,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt bis 2.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt über 2.000 bis 4.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt über 4.000 bis 5.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Bruttoarbeitsentgelt über 5.000   2010,Sozialversicherungspflichtig Beschäftigte (Wohnort) Median Bruttoarbeitsentgelte  2010,Stadtteilnummer,Anteil Wahlberechtigte ohne Sperrvermerk,Anteil Wähler,Anteil darunter Wähler mit Wahlschein,Anteil ungültige Stimmen,Anteil CDU,Anteil SPD,Anteil GRÜNE,Anteil DIE LINKE,Anteil AfD,Anteil FDP,Anteil PIRATEN,Anteil NPD,Anteil FREIE WÄHLER,Anteil Die PARTEI,Anteil BüSo,Anteil MLPD,Anteil BGE,Anteil DKP,Anteil DM,Anteil ÖDP,Anteil Tierschutzpartei,Anteil V-Partei³,year,Erwerbsfähige Personen Insgesamt,Erwerbsfähige Personen Erwerbsfähigendichte in %,Erwerbsfähige Personen Frauen,Erwerbsfähige Personen Männer,Erwerbsfähige Personen Deutsche,Erwerbsfähige Personen Ausländerinnen und Ausländer,Sozialversicherungspflichtig Beschäftigte (Wohnort) Insgesamt,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Frauen,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte Frauen in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Männer,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte Männer in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Deutsche,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte Deutsche in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Ausländerinnen und Ausländer,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte Ausländerinnen und Ausländer in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) 15- bis unter 25-Jährige,Sozialversicherungspflichtig Beschäftigte (Wohnort) Beschäftigtendichte 15- bis unter 25-Jährige in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Nebenjobs,Sozialversicherungspflichtig Beschäftigte (Wohnort) Nebenjobdichte in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Midijobber/innen,Sozialversicherungspflichtig Beschäftigte (Wohnort) Midijobdichte in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobber/innen,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobdichte in %,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobs Frauen,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobs Männer,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobs Deutsche,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobs Ausländerinnen und Ausländer,Sozialversicherungspflichtig Beschäftigte (Wohnort) Minijobs 15- bis unter 25-Jährige,Arbeitslose Insgesamt,Arbeitslose Arbeitslosendichte in %,Arbeitslose SGB III,Arbeitslose Arbeitslosendichte SGB III in %,Arbeitslose SGB II,Arbeitslose Arbeitslosendichte SGB II in %,Arbeitslose Frauen,Arbeitslose Arbeitslosendichte Frauen in %,Arbeitslose Männer,Arbeitslose Arbeitslosendichte Männer in %,Arbeitslose unter 25-Jährige,Arbeitslose Arbeitslosendichte unter 25-Jährige in %,Arbeitslose Deutsche,Arbeitslose Arbeitslosendichte Deutsche in %,Arbeitslose Ausländerinnen und Ausländer,Arbeitslose Arbeitslosendichte Ausländerinnen und Ausländer in %,Arbeitslose 55- bis unter 65-Jährige,Arbeitslose Arbeitslosendichte 55- bis unter 65-Jährige in %,SGB III Leistungsempfänger/innen Insgesamt
18,18,1065,2310,621,730,3079,18,82.1,69.6,24.3,1.9,30.6,23.2,9.5,8.7,12.4,11.1,0.4,0.3,0.7,0.9,0.0,0.0,0.2,0.1,0.2,0.1,1.2,0.2,2011,12919,"63,9",6485,6434,9591,3328,6777,"52,5",3097,"47,8",3680,"57,2",5375,56,1402,"42,1",774,"35,2",703,"5,4",291,"2,3",1052,"8,1",716,336,756,294,220,655,"5,1",132,1,523,4,316,"4,9",339,"5,3",48,"2,2",408,"4,3",245,"7,4",105,"4,3",153
19,19,1819,2626,440,452,2466,19,85.1,61.3,22.6,1.7,25.3,25.6,9.6,11.3,12.2,9.6,0.6,0.7,0.9,1.4,0.0,0.3,0.3,0.0,0.3,0.1,1.5,0.1,2011,16360,"72,3",6982,9378,9040,7320,7853,48,3157,"45,2",4696,"50,1",5148,"56,9",2705,37,911,"33,1",974,6,449,"2,7",1183,"7,2",673,510,636,544,292,983,6,228,"1,4",755,"4,6",422,6,561,6,74,"2,7",490,"5,4",492,"6,7",160,"6,3",246
20,20,957,2001,568,884,3162,20,78.8,73.2,27.8,1.1,23.6,21.2,13.9,16.2,9.1,10.7,0.7,0.2,0.5,1.7,0.0,0.1,0.3,0.1,0.3,0.2,1.0,0.3,2011,11714,"69,4",5819,5895,7932,3782,6030,"51,5",2898,"49,8",3132,"53,1",4518,57,1512,40,493,"30,2",613,"5,2",290,"2,5",832,"7,1",517,315,518,307,181,732,"6,2",143,"1,2",589,5,316,"5,4",416,"7,1",55,"3,4",429,"5,4",299,"7,9",107,"5,5",141
21,21,374,629,179,283,3099,21,78.3,79.4,35.6,1.6,27.5,23.0,13.4,12.6,7.7,12.6,0.2,0.1,0.5,1.1,0.0,0.0,0.4,0.0,0.1,0.1,0.6,0.1,2011,4785,"68,1",2407,2378,2989,1796,2141,"44,7",1004,"41,7",1137,"47,8",1502,"50,3",639,"35,6",201,"22,9",262,"5,5",151,"3,2",385,8,211,174,244,135,117,224,"4,7",48,1,176,"3,7",91,"3,8",133,"5,6",22,"2,5",135,"4,5",89,5,35,"4,5",51
22,22,846,1708,438,618,3019,22,79.6,73.1,26.6,1.2,24.5,24.3,12.8,12.6,11.1,10.5,0.4,0.3,0.5,1.0,0.0,0.0,0.2,0.0,0.2,0.2,1.3,0.2,2011,10064,65,5164,4900,7398,2666,5122,"50,9",2503,"48,5",2619,"53,4",4056,"54,8",1066,40,489,"30,8",613,"6,1",236,"2,3",753,"7,5",479,274,546,206,161,448,"4,5",113,"1,1",335,"3,3",207,4,241,"4,9",42,"2,6",310,"4,2",137,"5,1",76,"3,9",126
23,24,990,1954,509,708,3032,24,80.4,72.3,25.6,1.0,24.7,24.7,13.3,13.0,10.1,9.8,0.6,0.3,0.7,1.0,0.0,0.1,0.3,0.0,0.1,0.1,1.1,0.1,2011,11009,"66,2",5734,5275,8213,2796,5835,53,2872,"50,1",2963,"56,2",4669,"56,8",1166,"41,7",644,"34,5",639,"5,8",295,"2,7",824,"7,5",493,331,609,212,205,576,"5,2",146,"1,3",430,"3,9",268,"4,7",308,"5,8",56,3,360,"4,4",215,"7,7",98,"5,3",145
24,25,767,1521,367,513,2995,25,81.7,69.6,24.9,1.5,26.2,24.2,12.6,10.8,10.9,11.2,0.5,0.4,0.4,0.9,0.0,0.0,0.2,0.0,0.1,0.2,1.1,0.2,2011,9414,"62,9",4750,4664,6643,2771,4585,"48,7",2156,"45,4",2429,"52,1",3461,"52,1",1124,"40,6",406,"27,3",528,"5,6",248,"2,6",815,"8,7",485,330,591,221,200,535,"5,7",125,"1,3",410,"4,4",231,"4,9",304,"6,5",43,"2,9",336,"5,1",198,"7,1",91,"5,7",137
25,26,849,1729,534,672,3139,26,79.2,72.4,27.6,1.2,23.9,22.6,14.0,14.1,8.4,12.3,0.4,0.2,0.6,1.4,0.0,0.1,0.2,0.0,0.3,0.4,1.0,0.2,2011,10885,"67,4",5684,5201,7969,2916,5423,"49,8",2684,"47,2",2739,"52,7",4149,"52,1",1274,"43,7",589,28,588,"5,4",297,"2,7",869,8,516,353,622,245,264,499,"4,6",128,"1,2",371,"3,4",263,"4,6",236,"4,5",47,"2,2",305,"3,8",191,"6,6",70,"4,2",127
26,27,788,1808,663,1165,3582,27,73.9,80.1,31.0,0.8,27.3,19.2,15.2,11.8,7.5,15.6,0.4,0.1,0.4,0.8,0.0,0.1,0.2,0.0,0.2,0.2,0.8,0.2,2011,11562,"65,4",6067,5495,8748,2814,6009,52,3114,"51,3",2895,"52,7",4788,"54,7",1221,"43,4",399,25,545,"4,7",243,"2,1",801,"6,9",528,273,593,207,215,411,"3,6",140,"1,2",271,"2,3",196,"3,2",215,"3,9",31,"1,9",261,3,150,"5,3",73,"3,6",110
27,28,686,1658,526,919,3426,28,74.2,78.2,31.7,0.7,27.6,19.4,15.7,11.5,7.5,14.3,0.4,0.1,0.5,1.0,0.1,0.0,0.3,0.1,0.1,0.2,1.0,0.2,2011,9675,68,5023,4652,7537,2138,5069,"52,4",2581,"51,4",2488,"53,5",4207,"55,8",862,"40,3",389,"27,1",486,5,200,"2,1",615,"6,4",389,226,474,141,159,356,"3,7",120,"1,2",236,"2,4",154,"3,1",202,"4,3",43,3,239,"3,2",117,"5,5",67,"4,2",110
